base,base_is_boundary,base_community,optionA_dest,optionA_plausible,optionA_steps,optionA_within_code,optionA_same_community,optionA_dest_is_boundary,optionA_tag,optionB_dest,optionB_plausible,optionB_steps,optionB_within_code,optionB_same_community,optionB_dest_is_boundary,optionB_tag,comparison_type,comparison_pair_tag
H,False,1,B,False,2.0,X,False,True,NB2XB,G,True,1.0,W,True,True,NB1WB,T1,NB1WB__NB2XB
H,False,1,C,False,3.0,X,False,False,NB3XNB,D,False,2.0,X,False,True,NB2XB,T0,NB2XB__NB3XNB
H,False,1,C,False,3.0,X,False,False,NB3XNB,E,True,1.0,W,True,True,NB1WB,T1,NB1WB__NB3XNB
H,False,1,C,False,3.0,X,False,False,NB3XNB,F,True,1.0,W,True,False,NB1WNB,T1,NB1WNB__NB3XNB
H,False,1,C,False,3.0,X,False,False,NB3XNB,G,True,1.0,W,True,True,NB1WB,T1,NB1WB__NB3XNB
H,False,1,D,False,2.0,X,False,True,NB2XB,E,True,1.0,W,True,True,NB1WB,T1,NB1WB__NB2XB
H,False,1,D,False,2.0,X,False,True,NB2XB,F,True,1.0,W,True,False,NB1WNB,T1,NB1WNB__NB2XB
H,False,1,D,False,2.0,X,False,True,NB2XB,G,True,1.0,W,True,True,NB1WB,T1,NB1WB__NB2XB
H,False,1,E,True,1.0,W,True,True,NB1WB,F,True,1.0,W,True,False,NB1WNB,T2,NB1WB__NB1WNB
H,False,1,E,True,1.0,W,True,True,NB1WB,G,True,1.0,W,True,True,NB1WB,T2,NB1WB__NB1WB
H,False,1,F,True,1.0,W,True,False,NB1WNB,G,True,1.0,W,True,True,NB1WB,T2,NB1WB__NB1WNB
